,Timestep,Days,Rootzone_store,Subsoil_store,Subsoil_loss,Fieldwl,Rootzonewl,Subsoilwl,Sub-soil_loss_s1,Subsoilwl_s1,P-ET_s2,Infil_s3,Actual_infil_s3,Fieldwl_s4,Rootzonewl_s4,Crop_deficit_s5,Crop_avai_s5,Crop_ava_s5,Fieldwl_s5,Rootzonewl_s5,Percolation_s6,Actual_perc_s6,Rootzonewl_s7,Subsoilwl_s7,Gate_O_C,Discharge_network,Efficiency_network,Fieldwl_network,Pump_On_Off_PD,Head_pos_neg_PD,Discharge_PD,Act_disch_PD,Fieldwl_PD,Irripump_On_Off_SW_IP,Head_neg_On_Off_SW_IP,Discharge_SW_IP,Act_disch_SW_IP,Fieldwl_SW_IP,Rootzone_wl_SW_IP,Crop_deficit_GWI,Irrigationcap_GWI,Act_Irri_cap_GWI,Fieldwl_Final,Rootzone_wl_Final,Subsoilwl_Final
2000-01-01,1,10,200.0,1000.0,30.0,0.0,0.0,200.0,30.0,170.0,-10,0.0,0,-10.0,0.0,-10,0,0,-10.0,0.0,0.0,0,0.0,170.0,0,-0.0,-0.0,-10.0,0,0,0.0,0,-10.0,0.201,18.066181376,10.0,10.0,-7.5,7.5,-7.5,10.0,0.0,-7.5,7.5,170.0
2000-01-11,2,10,200.0,1000.0,30.0,-7.5,7.5,170.0,30.0,140.0,-10,0.0,0.0,-17.5,7.5,-17.5,7.5,7.5,-10.0,0.0,0.0,0.0,0.0,140.0,0,-0.0,-0.0,-10.0,0,0,0.0,0,-10.0,0.201,17.922980484,10.0,10.0,-7.5,7.5,-7.5,10.0,0.0,-7.5,7.5,140.0
2000-01-21,3,11,200.0,1000.0,33.0,-7.5,7.5,140.0,33.0,107.0,-10,0.0,0.0,-17.5,7.5,-17.5,7.5,7.5,-10.0,0.0,0.0,0.0,0.0,107.0,0,-0.0,-0.0,-10.0,0,0,0.0,0,-10.0,0.201,17.905842172,10.0,10.0,-7.5,7.5,-7.5,11.0,0.0,-7.5,7.5,107.0
2000-02-01,4,10,200.0,1000.0,30.0,-7.5,7.5,107.0,30.0,77.0,-10,0.0,0.0,-17.5,7.5,-17.5,7.5,7.5,-10.0,0.0,0.0,0.0,0.0,77.0,0,-0.0,-0.0,-10.0,0,0,0.0,0,-10.0,0.201,18.06081352,10.0,10.0,-7.5,7.5,-7.5,10.0,0.0,-7.5,7.5,77.0
2000-02-11,5,10,200.0,1000.0,30.0,-7.5,7.5,77.0,30.0,47.0,-10,0.0,0.0,-17.5,7.5,-17.5,7.5,7.5,-10.0,0.0,0.0,0.0,0.0,47.0,0,-0.0,-0.0,-10.0,0,0,0.0,0,-10.0,0.201,17.811162596,10.0,10.0,-7.5,7.5,-7.5,10.0,0.0,-7.5,7.5,47.0
2000-02-21,6,9,200.0,1000.0,27.0,-7.5,7.5,47.0,27.0,20.0,-10,0.0,0.0,-17.5,7.5,-17.5,7.5,7.5,-10.0,0.0,0.0,0.0,0.0,20.0,0,-0.0,-0.0,-10.0,0,0,0.0,0,-10.0,0.201,17.539444004,10.0,10.0,-7.5,7.5,-7.5,9.0,0.0,-7.5,7.5,20.0
2000-03-01,7,10,200.0,1000.0,30.0,-7.5,7.5,20.0,20.0,0.0,-10,0.0,0.0,-17.5,7.5,-17.5,7.5,7.5,-10.0,0.0,0.0,0.0,0.0,0.0,0,-0.0,-0.0,-10.0,0,0,0.0,0,-10.0,0.201,18.490259162999997,10.0,10.0,-7.5,7.5,-7.5,0.0,0.0,-7.5,7.5,0.0
2000-03-11,8,10,200.0,1000.0,30.0,-7.5,7.5,0.0,0.0,0.0,-10,0.0,0.0,-17.5,7.5,-17.5,7.5,7.5,-10.0,0.0,0.0,0.0,0.0,0.0,0,-0.0,-0.0,-10.0,0,0,0.0,0,-10.0,0.201,19.83661209,10.0,10.0,-7.5,7.5,-7.5,0.0,0.0,-7.5,7.5,0.0
2000-03-21,9,11,200.0,1000.0,33.0,-7.5,7.5,0.0,0.0,0.0,-10,0.0,0.0,-17.5,7.5,-17.5,7.5,7.5,-10.0,0.0,0.0,0.0,0.0,0.0,0,-0.0,-0.0,-10.0,0,0,0.0,0,-10.0,0.201,18.196306755000002,10.0,10.0,-7.5,7.5,-7.5,0.0,0.0,-7.5,7.5,0.0
2000-04-01,10,10,200.0,1000.0,30.0,-7.5,7.5,0.0,0.0,0.0,-10,0.0,0.0,-17.5,7.5,-17.5,7.5,7.5,-10.0,0.0,0.0,0.0,0.0,0.0,0,-0.0,-0.0,-10.0,0,0,0.0,0,-10.0,0.201,17.872643218,10.0,10.0,-7.5,7.5,-7.5,0.0,0.0,-7.5,7.5,0.0
2000-04-11,11,10,200.0,1000.0,30.0,-7.5,7.5,0.0,0.0,0.0,-10,0.0,0.0,-17.5,7.5,-17.5,7.5,7.5,-10.0,0.0,0.0,0.0,0.0,0.0,1,-17.947197469,-8.9735987345,-1.0264012655000005,0,0,0.0,0,-1.0264012655000005,0.201,8.973598734500001,1.0264012655000005,1.0264012655000005,-0.7698009491250004,0.7698009491250004,-0.7698009491250004,0.0,0.0,-0.7698009491250004,0.7698009491250004,0.0
2000-04-21,12,10,200.0,1000.0,30.0,-0.7698009491250004,0.7698009491250004,0.0,0.0,0.0,-10,0.0,0.0,-10.769800949125,0.7698009491250004,-10.769800949125,0.7698009491250004,0.7698009491250004,-10.0,0.0,0.0,0.0,0.0,0.0,1,-21.028783009999998,-10.0,0.0,0,0,0.0,0,0.0,0.201,11.02878301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-01,13,10,200.0,1000.0,30.0,0.0,0.0,0.0,0.0,0.0,-10,0.0,0.0,-10.0,0.0,-10.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,1,-25.40081292,-10.0,0.0,0,0,0.0,0,0.0,0.201,15.40081292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-11,14,10,200.0,1000.0,30.0,0.0,0.0,0.0,0.0,0.0,-10,0.0,0.0,-10.0,0.0,-10.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,1,-21.253172069999998,-10.0,0.0,0,0,0.0,0,0.0,0.201,11.25317207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
